len,uniqs
8,8
10,10
6,6
10,10
16,12
8,8
3,3
57,40
14,14
32,29
12,12
17,13
76,49
4,4
4,4
43,30
64,54
61,41
33,29
5,5
17,17
61,44
36,24
4,4
61,47
76,46
12,12
5,5
29,26
6,6
80,71
134,65
83,44
2,2
43,31
24,24
28,26
48,33
36,35
5,5
27,27
2,2
8,8
19,19
20,20
31,15
13,13
55,40
29,23
16,16
76,55
206,116
8,8
5,5
19,19
38,34
31,31
20,19
17,15
76,60
9,9
10,8
16,15
30,23
13,13
16,16
10,10
11,11
8,8
43,38
11,11
45,38
21,21
5,5
33,22
26,24
4,4
27,27
57,31
3,3
5,5
5,5
58,36
14,14
6,6
3,3
8,7
25,21
33,22
2,2
15,15
8,8
16,11
37,22
73,52
7,7
18,14
2,2
3,3
157,90
9,9
20,20
5,5
8,8
38,38
13,13
24,24
9,9
11,11
7,7
21,21
1,1
6,6
10,10
18,15
12,10
36,27
7,7
11,11
185,111
22,22
14,14
26,23
3,3
85,39
78,67
10,10
20,20
18,18
11,11
14,14
2,2
30,30
27,18
9,9
9,9
12,12
6,6
10,10
18,18
17,17
7,7
29,24
176,69
13,13
9,8
12,9
8,8
14,14
30,24
9,8
31,31
14,14
170,98
33,22
40,28
27,27
126,79
47,40
3,3
13,13
14,14
121,58
56,50
56,42
11,11
243,79
26,20
137,99
106,74
16,12
9,9
228,99
9,8
20,19
13,13
73,53
10,10
197,130
3,3
35,35
8,8
27,20
4,4
35,29
6,6
33,25
5,5
39,34
20,15
19,19
11,11
1,1
18,14
27,27
6,6
167,79
8,8
11,11
8,8
1,1
2,2
12,12
60,36
1,1
19,19
31,27
36,29
31,22
7,7
12,12
17,17
35,22
34,25
7,7
6,6
4,4
22,18
8,8
475,195
14,14
18,16
41,41
1,1
9,9
737,289
66,52
77,57
14,14
45,32
50,44
4,4
6,6
7,7
58,43
5,5
64,57
88,72
48,41
54,24
4,4
2,2
3,3
31,31
38,34
5,5
15,13
16,16
13,13
11,11
12,8
11,11
29,29
6,6
3,3
8,7
257,91
3,3
3,3
8,8
33,29
9,9
12,11
2,2
27,27
3,3
23,20
7,7
23,19
14,13
54,33
182,95
19,15
17,17
13,13
6,6
34,32
1,1
92,67
30,29
38,38
10,10
4,4
14,10
35,35
11,11
17,14
42,38
1,1
31,29
109,61
75,42
20,20
12,12
27,21
3,3
33,33
11,11
3,3
103,81
6,6
6,6
22,17
8,8
8,8
34,34
27,19
30,30
4,4
6,6
9,9
1,1
13,13
48,36
8,8
44,44
44,32
25,21
6,6
29,21
17,17
3,3
14,14
70,56
17,17
7,7
4,4
24,23
3,3
13,13
3,3
12,12
4,4
6,6
7,7
18,18
31,28
7,7
54,48
38,38
205,139
18,17
45,41
31,22
91,80
268,131
22,19
1,1
218,126
68,50
21,19
32,25
6,6
28,20
49,47
18,18
5,5
19,14
62,55
10,10
94,57
27,22
48,34
5,5
9,9
96,84
25,22
15,15
52,51
17,17
30,22
40,37
4,4
29,29
20,20
38,38
14,14
16,16
34,34
13,13
9,9
23,22
11,11
85,67
38,32
10,10
188,127
24,18
5,5
36,27
2,2
3,3
32,29
9,9
6,6
16,16
37,37
33,33
29,20
7,7
8,8
2,2
139,81
15,15
68,40
15,15
40,32
43,33
273,145
10,10
18,18
73,56
116,82
7,7
16,16
28,28
15,15
139,61
694,239
33,33
32,32
36,27
95,66
65,56
108,58
186,64
41,38
2,2
13,13
2,2
7,7
24,24
16,14
25,25
15,15
84,68
9,9
6,6
13,13
3,3
9,9
9,9
222,107
14,14
27,20
167,80
23,19
52,40
93,60
35,14
22,19
6,6
33,29
15,12
2,2
133,62
7,7
19,12
9,9
23,18
8,8
4,4
7,7
8,8
4,4
30,24
28,24
20,16
199,133
2,2
7,7
14,14
13,13
39,39
83,53
222,126
6,6
32,27
4,4
6,6
8,8
58,45
48,41
15,15
15,15
8,5
6,6
13,11
12,12
31,31
6,6
10,7
27,26
12,12
10,10
239,138
15,15
3,3
4,4
36,30
10,7
19,19
13,13
11,11
24,19
12,12
7,7
4,4
14,14
70,46
50,45
5,4
4,4
18,18
67,53
22,20
11,11
19,19
55,43
9,7
10,7
49,41
3,3
113,51
29,29
83,65
4,4
11,11
16,16
72,57
28,27
2,2
11,11
105,69
10,10
19,19
6,6
8,8
4,4
3,3
16,16
2,1
13,13
16,16
13,13
14,14
53,32
66,53
7,7
5,5
22,22
106,64
5,5
4,4
7,7
14,12
383,191
25,22
3,3
23,23
15,13
14,14
4,4
9,9
8,8
20,16
134,69
32,23
16,16
15,15
7,7
14,14
31,31
167,81
2,2
22,19
47,42
2,2
10,10
8,8
17,17
14,14
36,31
1,1
4,4
51,41
25,21
9,7
4,4
10,10
267,160
11,11
70,53
12,12
58,49
4,4
178,121
4,4
19,15
63,51
15,14
8,8
33,33
11,11
10,10
7,7
30,24
18,17
10,10
2,2
98,44
2,2
12,12
6,6
16,16
5,5
115,74
7,7
6,6
11,10
7,7
18,18
9,9
13,13
6,5
78,49
7,7
43,43
318,165
5,5
35,35
3,3
59,48
6,6
13,13
14,14
4,4
60,53
11,11
9,9
12,12
2,2
12,11
6,6
9,9
6,6
27,24
64,39
19,19
51,42
5,5
3,3
72,51
22,20
88,78
9,9
13,11
5,5
20,20
73,53
30,30
29,20
51,34
12,11
3,3
7,7
9,9
21,19
5,5
32,31
22,22
360,193
24,24
13,13
31,23
7,7
7,7
6,6
7,7
1,1
220,152
56,42
31,31
5,4
59,43
11,11
5,5
5,5
16,14
78,47
4,4
41,26
893,212
4,4
7,6
55,54
18,18
8,8
32,32
10,10
27,26
53,41
18,18
17,17
34,28
63,50
16,16
103,64
12,12
12,12
241,111
17,17
50,35
360,123
7,4
49,39
151,110
10,10
9,9
14,13
12,12
5,5
18,18
6,6
11,11
20,20
26,26
13,13
9,9
37,29
42,40
34,34
12,12
12,12
5,5
122,94
19,18
39,30
8,8
67,53
21,19
15,15
1,1
8,5
53,29
342,180
14,14
14,14
2,2
7,7
4,4
6,6
121,81
7,7
13,13
31,28
26,25
5,5
6,6
5,5
6,6
61,44
1,1
31,20
7,7
5,5
10,10
6,6
14,14
33,32
46,39
25,23
10,10
29,25
8,8
10,10
49,42
6,6
38,34
79,68
24,24
5,5
33,31
6,6
2,2
68,63
32,32
64,43
734,110
6,6
57,49
10,10
39,39
38,38
20,20
87,53
7,7
11,11
24,20
104,76
53,50
6,6
1,1
4,4
157,121
29,25
10,10
13,13
11,8
13,13
103,72
18,17
17,10
5,5
16,16
32,31
17,17
13,13
7,7
4,4
1,1
16,16
3,3
10,10
8,8
58,45
26,26
7,7
20,20
55,40
1,1
11,11
16,16
11,11
6,6
13,13
3,3
12,10
9,9
87,66
4,4
13,12
7,7
13,10
29,29
33,33
29,29
17,17
12,12
21,8
80,58
25,25
6,6
33,33
12,10
20,20
16,16
3,3
20,17
14,11
10,10
13,13
36,27
15,15
17,12
8,8
11,11
48,47
24,24
135,83
14,14
13,13
18,17
14,11
6,5
16,16
1,1
6,6
43,26
14,14
14,14
74,55
12,12
21,21
53,39
15,15
6,6
27,24
10,10
1,1
38,30
15,15
122,76
28,25
15,15
3,3
141,92
11,10
17,17
18,18
35,35
145,66
77,44
55,44
5,5
65,59
21,20
86,51
123,66
48,45
10,7
12,12
18,17
68,39
10,10
7,7
52,39
28,24
20,14
33,30
175,84
19,19
15,15
8,8
42,38
18,16
2,2
13,12
6,6
6,6
11,11
21,21
95,75
11,11
24,23
106,70
87,33
6,5
17,16
6,6
4,4
16,16
11,8
8,8
30,25
10,9
16,16
19,19
22,21
48,43
22,22
2,2
5,5
10,10
4,4
29,25
56,41
39,31
7,7
57,42
25,16
19,19
7,7
59,46
19,19
16,16
19,17
73,51
2,2
2,2
102,47
174,101
6,6
18,17
1,1
56,48
46,32
11,11
1,1
94,63
3,3
5,5
1,1
35,22
65,61
46,37
9,9
10,7
16,16
18,17
7,7
22,18
10,10
17,17
6,6
12,11
8,7
17,13
62,53
23,18
30,30
4,4
90,52
23,20
11,11
6,6
55,49
78,56
26,23
15,12
3,3
13,13
51,36
