len,uniqs
121,103
4952,458
708,172
509,189
219,100
1884,385
351,133
2134,391
2092,229
148,69
3456,375
2414,317
780,293
10198,628
3064,239
169,92
7720,633
316,109
4107,301
9390,490
155,82
360,90
40323,1318
21118,749
9127,551
5679,437
476,103
17362,1005
41457,1165
349,135
9766,854
156,120
66,57
2454,259
410,112
45750,1632
633,135
3985,504
17148,622
3087,416
683,221
1783,395
3742,316
627,158
16,12
120,75
7971,562
11818,837
6844,515
3237,314
10477,629
11945,552
548,183
2809,215
1024,252
2876,354
335,157
2328,308
1306,284
1549,166
29020,930
5523,629
834,236
6629,353
2750,435
9821,785
1188,280
1948,258
11772,776
345,112
55,41
1157,254
3929,247
1529,131
1810,307
71,51
1436,276
6479,615
10139,451
2069,295
1425,325
3145,343
903,115
4767,560
6570,418
4030,445
30804,1114
278,85
2366,370
4100,246
21713,820
26,20
7645,488
2321,368
926,217
7475,636
3235,262
2185,381
1228,270
2499,404
44,22
2988,410
1439,235
8566,681
6173,423
582,162
9438,392
4910,458
1552,497
1809,315
80,67
1786,126
21070,1194
9882,684
5396,681
20158,679
51,33
2311,345
267,155
4199,514
424,137
8917,695
2447,427
827,156
925,193
10418,802
1962,236
22372,1223
487,160
42655,1084
3639,240
1170,203
13102,922
3416,323
51507,1531
5259,418
131,80
14398,700
6738,607
473,186
9535,730
347,147
959,291
1532,218
33565,1151
4427,448
30487,1216
209,128
14969,834
33915,1160
906,247
3367,326
1020,232
16736,1044
1108,203
2972,542
14660,936
5365,400
138,67
1166,237
11646,372
244,92
6190,364
312,97
23864,1026
432,132
152,70
907,220
16,16
5802,623
10982,499
1098,282
622,110
199,142
17928,1129
5957,609
403,127
577,137
11988,701
74,65
6892,407
196,102
19874,772
576,163
35467,1276
406,87
6079,793
17659,633
842,236
7502,362
2368,83
534,173
343,105
5499,605
10705,689
1580,308
8788,628
5745,511
644,217
4252,289
4429,362
72,49
2622,313
22,11
184,119
15756,1104
874,246
9251,620
112,73
21501,987
27028,1171
15599,688
3030,486
1659,404
1160,253
2905,372
54406,1288
8322,559
3907,347
561,145
774,193
7253,481
4892,274
612,162
56661,1364
8874,624
15449,899
917,150
30944,885
315,138
3850,495
13102,655
7916,543
4210,336
63,50
1959,219
33598,1006
573,106
12152,860
3827,419
7495,654
2280,161
105,79
5800,526
1934,306
406,101
2576,260
994,251
1566,226
167,106
7383,271
1338,256
1140,248
207,134
5940,381
2146,249
13040,691
4850,482
21312,1319
15,7
8830,477
188,83
5690,628
521,137
119,27
820,199
60,56
78,72
8575,495
14908,758
5180,286
1281,281
6733,667
2377,274
579,180
104,44
4332,452
1173,221
5715,650
707,164
4503,313
8614,473
2046,279
2161,307
666,143
7034,339
259,122
9715,418
3660,473
174,83
7823,481
651,231
2788,326
616,126
8863,683
4981,487
180,109
21820,903
1226,330
12830,443
2436,235
668,200
7723,632
20836,634
4742,417
56094,1534
220,100
14153,897
116,94
1306,257
815,203
3070,289
265,151
7608,559
5759,537
7154,384
766,195
7247,297
701,185
818,269
3863,531
559,148
572,160
603,160
776,215
3033,354
572,236
1264,182
301,136
4655,546
5869,391
18337,1031
20194,391
31185,1151
826,216
707,199
124,63
13434,691
4189,491
599,194
2205,227
205,130
349,119
8191,673
20398,904
160,106
4288,304
162,111
68,56
2131,329
130,77
3157,360
5463,494
8799,563
6399,541
2846,219
3218,354
56,39
447,151
3674,525
4181,435
407,192
468,205
1251,176
3834,275
5726,389
6738,548
15055,531
2438,357
292,106
5977,421
14069,867
19777,759
3355,363
4414,546
5775,430
340,105
739,202
10760,658
3462,367
6588,470
4570,401
5816,563
18260,841
823,146
21502,1191
239,124
230,126
1435,289
4503,374
8970,767
142,113
6555,342
14678,924
6951,575
4086,364
10419,299
1124,232
9469,585
204,107
47191,1550
1123,333
3502,399
20075,950
295,149
2635,325
3019,417
4875,342
1388,299
3593,334
7124,663
6118,341
2799,478
2040,289
520,133
9808,587
959,316
713,180
3728,213
49,36
5615,394
24826,731
32982,807
16,6
8254,566
6827,681
52313,1316
11366,739
964,231
444,160
8544,331
17264,705
2508,384
1870,153
880,205
20765,1215
923,146
9254,559
828,243
172,59
1005,320
187,53
20107,926
1960,309
308,104
6403,444
21196,1286
10018,503
1816,251
118,69
71,43
1425,168
343,162
7489,460
7505,432
10,8
8528,509
5632,366
614,202
1863,271
72,43
