len,uniqs
10,10
5,5
51,45
5,5
6,6
22,16
37,35
18,12
5,5
20,20
13,13
53,40
20,19
16,15
8,7
12,12
102,81
6,6
45,42
6,6
3,3
9,9
119,75
4,4
9,9
24,21
11,11
30,22
3,3
28,28
7,7
174,105
12,12
47,33
17,17
25,25
32,32
40,35
15,13
14,14
15,15
4,4
41,29
7,7
46,37
34,22
5,5
89,63
11,11
40,36
12,12
9,9
28,17
28,21
8,7
31,27
16,16
20,20
71,45
7,7
22,19
19,15
4,4
20,15
9,9
49,36
26,23
76,69
422,198
20,20
8,8
24,23
27,25
1,1
10,10
34,19
27,27
13,13
33,31
8,5
10,10
36,24
4,4
6,6
4,4
10,10
18,18
7,7
12,12
6,6
56,43
31,22
8,8
62,55
3,3
43,32
8,8
20,20
5,2
257,105
3,3
5,5
12,12
24,24
25,24
28,28
14,14
24,24
16,11
1,1
8,7
24,24
8,8
36,36
14,14
78,65
90,69
37,37
18,18
32,29
54,44
26,26
17,17
19,19
20,20
19,19
21,18
10,10
13,13
15,15
5,4
41,41
16,13
320,132
44,34
2,2
19,19
6,6
30,27
19,19
4,4
51,43
32,30
24,24
13,12
4,4
77,43
17,17
22,22
58,44
11,8
10,10
29,25
131,92
9,9
22,17
133,86
15,15
4,4
5,5
13,13
4,4
24,18
9,9
30,23
20,20
7,7
3,3
32,29
10,10
5,5
28,25
141,69
25,21
70,54
10,10
3,3
1,1
7,7
596,165
42,37
28,22
8,8
25,25
38,22
7,7
10,10
22,22
293,165
11,11
15,14
8,8
163,99
53,45
7,7
24,20
88,55
22,22
14,14
31,22
9,9
4,4
7,7
7,7
6,6
12,12
5,5
22,22
5,5
5,5
9,9
8,8
17,17
38,38
4,4
22,17
19,19
23,20
3,3
18,18
131,69
272,148
179,107
138,84
3,3
47,42
7,7
2,2
3,3
15,14
42,42
11,10
4,4
5,5
9,9
9,9
72,67
47,45
7,7
2,2
96,44
2,2
23,23
10,10
4,4
2,2
10,10
10,7
26,18
53,43
47,38
35,28
7,7
119,91
17,17
55,44
24,22
4,4
102,65
7,7
7,7
10,10
10,10
63,51
48,42
11,11
